,EWP,MyPortfolio,index_sp
2017-04-11,10000.0,10000.0,10000.0
2017-05-10,10227.49995065875,10467.523391217113,10194.792431514177
2017-06-08,10485.886464704536,10860.708842484773,10339.92135530832
2017-07-07,10391.862760035812,10433.879223162841,10303.341439960635
2017-08-07,10713.688332881462,10958.315553877499,10540.109446210556
2017-09-05,10693.764122039229,11079.68752605758,10442.140162054407
2017-10-04,11031.719202929908,11169.30988795754,10781.5512012499
2017-11-02,11352.435107110237,11700.103145079525,10960.455376226922
2017-12-01,11807.312667677652,12193.731365147689,11225.432868900723
2018-01-01,11953.303092900851,12195.89569281978,
2018-01-30,12872.345722327475,13047.700981857066,11991.052250042863
2018-02-28,12351.115878053406,12826.370686681006,11529.667362058806
2018-03-29,11782.061978507714,12318.491950894717,11219.698035998652
2018-04-27,12072.798477874823,12697.476013177667,11343.073179641748
2018-05-28,12359.092155798424,13416.870072533857,
2018-06-26,12292.064836377214,13428.968113991916,11568.88079897248
2018-07-25,12854.232657030512,13879.801169438048,12091.487024849801
2018-08-23,13210.89484970722,14563.186627202029,12137.837626747949
2018-09-21,13634.02873239819,14982.202358797915,12446.659778782114
2018-10-22,13051.669705663498,14510.495285889088,11708.315341751544
2018-11-20,12866.140734219141,14083.137847275064,11224.030536818322
2018-12-19,12227.882513205837,13294.207681716383,10650.782697338047
2019-01-17,12599.83822026179,13693.927565337099,11198.837309045051
2019-02-15,13079.423144073256,14422.00810706929,11792.096385852086
2019-03-18,13643.044344923965,15176.976490254207,12035.70387268733
2019-04-16,13988.090502559704,15715.368047361046,12350.602105593323
2019-05-15,13814.117738215127,15459.892752631988,12112.26166189006
2019-06-13,14134.356240631043,15889.253601507631,12285.089755995254
2019-07-12,14764.004517087495,16650.691508235737,12803.957812623332
2019-08-12,14376.83704129462,16310.46406126292,12247.108545793039
2019-09-10,14750.94600462844,16685.778576424655,12657.89434651688
2019-10-09,14312.371699149133,16609.07985103752,12403.027751135427
2019-11-07,15183.240527908123,17699.857332562715,13107.341778926702
2019-12-06,15413.700937247795,18279.454135175365,13365.352211986972
2020-01-06,16023.946705309356,19236.53730918374,13791.773185647296
2020-02-04,16037.040195850635,19641.94571609299,14009.763218509786
2020-03-04,14820.681254301517,18538.963848368196,13298.269499391303
2020-04-02,12618.097132884603,16050.82174494333,10735.49724652303
2020-05-01,14679.570526342528,18934.449573763028,12026.229833308145
2020-06-01,15237.403008239533,20092.715470982577,12982.22409245932
2020-06-30,15168.672340955954,20989.988880742036,13171.53684912784
2020-07-29,16042.745372976171,22316.610043328754,13843.434394248032
2020-08-27,17118.03577601503,24878.594571718226,14804.059875845898
2020-09-25,16316.420911704601,23109.693934777497,14013.458861416295
2020-10-26,17164.16908975957,24578.007111376824,14448.971137371185
2020-11-24,17866.957684038654,24999.941880101676,15444.985796720139
2020-12-23,18531.44861923531,26606.60227689979,15676.9535123803
2021-01-21,19385.409956190604,27620.518748814105,16369.71178445409
2021-02-19,19532.235451652152,27296.7008533659,16597.60008289525
2021-03-22,19606.97987929017,26492.91259039637,16741.53930632067
2021-04-20,20818.46267865949,28654.148296770672,17567.23181410221
2021-05-19,20809.88879745509,27745.097466990315,17485.406981767504
2021-06-17,21094.74102403409,28195.797717055386,17936.5098298604
2021-07-16,21924.654898361627,30299.747523988517,18383.876583159796
2021-08-16,22678.331369939573,31037.99887743337,19031.982195361245
2021-09-14,22594.147149276327,31375.548376664097,18876.232058161928
2021-10-13,21960.757717770255,30506.46392956652,18539.539593217898
2021-11-11,23546.71024278166,32976.61144657548,19752.35562228849
