No,Company,Symbol,Weight
1,Apple Inc.,AAPL,6.184135
2,Microsoft Corporation,MSFT,5.779496
3,Amazon.com Inc.,AMZN,3.749817
4,Facebook Inc. Class A,FB,2.30076
5,Alphabet Inc. Class A,GOOGL,2.184945
6,Alphabet Inc. Class C,GOOG,2.086871
7,Tesla Inc,TSLA,1.473825
8,Berkshire Hathaway Inc. Class B,BRK.B,1.456596
9,NVIDIA Corporation,NVDA,1.313414
10,JPMorgan Chase & Co.,JPM,1.296808
11,Johnson & Johnson,JNJ,1.221639
12,Visa Inc. Class A,V,1.039169
13,UnitedHealth Group Incorporated,UNH,1.014387
14,Home Depot Inc.,HD,0.940353
15,Procter & Gamble Company,PG,0.926677
16,Walt Disney Company,DIS,0.862562
17,PayPal Holdings Inc,PYPL,0.854103
18,Bank of America Corp,BAC,0.841621
19,Mastercard Incorporated Class A,MA,0.838897
20,Adobe Inc.,ADBE,0.803716
21,Comcast Corporation Class A,CMCSA,0.716615
22,Pfizer Inc.,PFE,0.700178
23,Exxon Mobil Corporation,XOM,0.642874
24,salesforce.com inc.,CRM,0.635077
25,Cisco Systems Inc.,CSCO,0.629271
26,Verizon Communications Inc.,VZ,0.609934
27,Netflix Inc.,NFLX,0.599607
28,Coca-Cola Company,KO,0.584027
29,Abbott Laboratories,ABT,0.577786
30,NIKE Inc. Class B,NKE,0.576058
31,Intel Corporation,INTC,0.572445
32,PepsiCo Inc.,PEP,0.567297
33,Thermo Fisher Scientific Inc.,TMO,0.564312
34,Wells Fargo & Company,WFC,0.559093
35,Eli Lilly and Company,LLY,0.555308
36,Walmart Inc.,WMT,0.541923
37,Accenture Plc Class A,ACN,0.541557
38,AbbVie Inc.,ABBV,0.53992
39,AT&T Inc.,T,0.529733
40,Danaher Corporation,DHR,0.527408
41,Chevron Corporation,CVX,0.525275
42,Broadcom Inc.,AVGO,0.522694
43,Costco Wholesale Corporation,COST,0.521206
44,Merck & Co. Inc.,MRK,0.509808
45,McDonald's Corporation,MCD,0.467606
46,Texas Instruments Incorporated,TXN,0.459405
47,Medtronic Plc,MDT,0.454502
48,Qualcomm Inc,QCOM,0.439507
49,Oracle Corporation,ORCL,0.431994
50,NextEra Energy Inc.,NEE,0.430101
51,Honeywell International Inc.,HON,0.426504
52,Linde plc,LIN,0.42241
53,Philip Morris International Inc.,PM,0.412716
